environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
610460,-0.0812446251511573,0.21339287,0.18461375,0.2673611,0.26707494,0.26329365,0.17310935,2.8175480365753174,6.983985900878906,30.071428571428573,0.74404764,0.1323818022142404,17.894389726209422,0.35941735,0.0788877183574239,1221,14.130460739135742
620460,-0.7566095590591431,0.2808201,0.21342567,0.29,0.26266444,0.25537038,0.19373539,2.6990764141082764,6.577358722686768,27.933333333333334,0.82619053,0.1305240292666591,15.981099948237466,0.32599056,0.0745236369311367,1241,14.667936325073242
630460,0.3562561273574829,0.37390873,0.25321555,0.30175266,0.207118,0.2410053,0.20564272,2.4894556999206543,10.418731689453123,25.0,0.9166667,0.1069928809999964,11.74734012447073,0.2763854,0.0510399481708328,1261,20.124950408935547
640950,-0.1018312275409698,0.25873017,0.2055915,0.27905983,0.22750299,0.17466424,0.15774126,2.719553232192993,5.204482555389404,32.0,0.7124542,0.1404372136922715,17.79801198924281,0.386911,0.0789106729787378,1282,10.612627983093262
650950,1.3753634691238403,0.3007519,0.19051269,0.19799499,0.15681073,0.43107772,0.23580316,2.560644149780273,11.03457260131836,20.894736842105264,0.92982453,0.0888005595789093,14.476459064150012,0.21161996,0.0619679683713487,1302,19.318418502807617
660950,-0.538603663444519,0.32571426,0.22957678,0.2649084,0.21997322,0.28758243,0.16145547,2.7747602462768555,8.473503112792969,25.46153846153846,0.8782052,0.1065974619999066,16.795674281082405,0.28610146,0.0714165282247668,1322,18.024213790893555
670950,-0.4730316996574402,0.3001984,0.24540845,0.19351852,0.17872769,0.20727511,0.2259025,2.74377703666687,6.06442928314209,31.58333333333333,0.70099205,0.1482079150833139,17.428225829256277,0.3674922,0.0801997985236002,1342,13.074921607971191
680950,0.6785668730735779,0.39582416,0.24205162,0.31564105,0.23292047,0.24457878,0.16766313,2.587308645248413,11.527286529541016,22.846153846153847,0.95604396,0.0960161229230344,11.210202453713958,0.1522682,0.0472679336935887,1362,21.697439193725582
690950,-0.3669397234916687,0.2873483,0.23783748,0.31349206,0.23916164,0.3067227,0.20226185,2.569509983062744,9.634735107421877,20.647058823529413,0.90756303,0.0904513869999765,13.25736721476508,0.26360315,0.058623263397093,1382,20.00334930419922
700950,-0.1588660329580307,0.21150793,0.19783609,0.22083335,0.19813265,0.34146824,0.28793854,2.697272539138794,5.804022312164307,33.416666666666664,0.7738095,0.141507900583368,15.277752525231657,0.39751923,0.0650010807394115,1402,11.925776481628418
710950,-1.2081375122070312,0.28710318,0.30328047,0.2436508,0.25581115,0.29424602,0.26244286,2.5446488857269287,10.144163131713867,22.9375,0.825,0.1067216270000415,14.842796021976453,0.36657196,0.0686037233853126,1422,22.7046012878418
721010,-2.0491702556610107,0.25583333,0.23184198,0.17916667,0.22383186,0.13,0.17204651,2.2858476638793945,5.991914749145508,40.9,0.56499994,0.1775065927000014,14.55644187293035,0.44161636,0.064898706470983,1443,16.082170486450195
731010,0.2920729517936706,0.25470084,0.20562154,0.2892552,0.22961214,0.32417583,0.25046435,2.503087282180786,12.470196723937988,22.76923076923077,0.8681319,0.098423188230754,16.153846153846153,0.3142934,0.0700013038355072,1463,24.356246948242188
741010,0.0492668636143207,0.24449405,0.19117565,0.2763393,0.22123723,0.27738094,0.22787282,2.6845030784606934,6.080290794372559,27.6875,0.7982143,0.1152821944376114,16.258531414306766,0.36845914,0.0683406926411924,1483,12.062047958374023
751400,1.0575472116470337,0.2750916,0.28494495,0.2860806,0.17575644,0.43882787,0.29660615,2.490894079208374,15.048734664916992,20.153846153846157,1.0,0.088739204538482,8.346774170495715,0.0,0.036551962106366,1504,27.98237419128418
761640,0.020099313929677,0.25904763,0.26493084,0.33624336,0.2042744,0.23328042,0.22278284,2.699716567993164,8.067781448364258,25.6,0.82857144,0.1074699986000572,15.71326403605141,0.3545621,0.0667030209795548,1525,16.09536361694336
771640,-0.638038158416748,0.28940478,0.20199996,0.12761904,0.15267532,0.26964286,0.22362533,2.62792444229126,4.98774528503418,35.0,0.6866666,0.1549452745999588,15.8871016865884,0.42063445,0.072169639388676,1545,11.251566886901855
781640,-1.1807254552841189,0.175,0.17923449,0.19833334,0.21501939,0.25166667,0.26673958,2.4847891330718994,5.953325748443604,32.3,0.625,0.1386438826999438,16.056462873248265,0.4643544,0.0673458151997017,1565,14.268102645874023
