entropy_coef,environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
0.01,920400,0.3858035802841186,0.3486395,0.2082244,0.3690476,0.11276626,0.20068027,0.21314594,2.08254337310791,8.577103614807129,26.5,0.9183674,0.1129566141429287,13.579133151378151,0.19995834,0.057575217862517,1841,16.382600784301758
0.01,930890,-0.559612512588501,0.2568376,0.31508568,0.30598292,0.35974732,0.083333336,0.12810253,2.185242176055908,6.515765190124512,30.384615384615383,0.6461538,0.1282398064616315,17.826248846265834,0.4516898,0.0761353337738146,1862,14.150755882263184
0.01,940890,0.0666562989354133,0.24767575,0.16336218,0.35670352,0.24121788,0.26750284,0.21981837,2.016921281814575,6.881405353546143,28.285714285714285,0.8718821,0.1173302616428892,15.677229034624762,0.24637634,0.0660902783754243,1882,13.629498481750488
0.01,951300,-0.6112496852874756,0.31452993,0.23152062,0.15854701,0.19631717,0.15512821,0.22808987,2.30125093460083,3.60548996925354,34.92307692307692,0.62820506,0.1499220943843773,16.726126676833086,0.42943937,0.0717577585486723,1903,8.433479309082031
0.01,961300,0.791549801826477,0.2756236,0.19332,0.3643991,0.2920701,0.30283448,0.2500426,2.154537916183472,15.3267183303833,20.928571428571427,0.94285715,0.0881374990714383,13.69287763617216,0.2060315,0.0585690020995591,1923,29.070337295532227
0.01,971300,0.495943546295166,0.264709,0.20033793,0.29179898,0.20284772,0.28682536,0.27424723,2.1752965450286865,7.657177925109863,25.666666666666668,0.84333336,0.1093254099334444,16.176800947309975,0.30488613,0.0695330791831231,1943,14.322468757629396
0.01,981300,-0.1335188001394271,0.2621605,0.26283574,0.27459434,0.230545,0.22959436,0.23910876,2.199666976928711,5.188425540924072,29.133333333333333,0.7663492,0.1294160247333517,17.46183139179724,0.34757107,0.0772631010288684,1963,10.643888473510742
0.01,991300,-1.0336614847183228,0.27953705,0.2162701,0.19851853,0.22701743,0.19361112,0.18009043,2.163012742996216,3.8774938583374015,27.2,0.6716667,0.1128011161331111,19.27070315271345,0.41251037,0.0810739295373446,1983,9.822310447692873
0.1,10000,-0.432732343673706,0.02857143,0.085714296,0.12857142,0.2040408,0.05,0.106718734,4.291283130645752,4.957303047180176,50.0,0.20714286,0.2097099170000547,0.0,0.19315086,0.0001119020310072,20,10.780070304870604
0.1,20000,0.2264629453420639,0.07,0.15524174,0.05,0.14999999,0.125,0.20155644,4.399657726287842,13.8670015335083,45.5,0.245,0.2004245725998771,9.024965373894794,0.3875887,0.0389861617456096,40,27.28107643127441
0.1,30000,0.2969416081905365,0.058333337,0.1181454,0.025,0.074999996,0.13333334,0.1795055,4.675266742706299,8.654622077941895,50.0,0.21666667,0.2203548390999458,0.0,0.19436507,0.0001208916226993,60,16.715360641479492
0.1,40000,0.7181074023246765,0.11222222,0.18260461,0.17079364,0.19475898,0.13,0.26851445,4.601865768432617,15.36042022705078,45.6,0.4130159,0.1991874407997784,12.547509713086498,0.35118973,0.0549487158231776,80,29.28462600708008
0.1,50000,-0.3586263954639435,0.12857142,0.2040408,0.033333335,0.1,0.09333334,0.1496663,4.649234294891357,7.066869735717773,50.0,0.25523812,0.2136572359001547,0.0,0.18772055,7.967186966801347e-05,100,14.850992202758787
0.1,60000,-0.7416658401489258,0.13523808,0.18344401,0.016666668,0.05,0.025,0.074999996,4.777334690093994,2.6510324478149414,50.0,0.17690477,0.2059146888002033,0.0,0.18769412,9.91879409875241e-05,120,6.785396575927734
0.1,70000,-1.3591073751449585,0.075,0.16007811,0.0,0.0,0.05,0.14999999,4.606985092163086,2.7633824348449707,50.0,0.125,0.2155842606000078,0.0,0.20155644,8.441973537426972e-05,140,8.244979858398438
0.1,80000,-1.02490234375,0.0,0.0,0.0,0.0,0.06666667,0.13333336,4.647520542144775,0.827502965927124,50.0,0.06666667,0.2161686948000351,0.0,0.13333336,8.525962712459976e-05,160,3.704810619354248
0.1,90000,0.3176748156547546,0.2,0.27688748,0.12833335,0.25144583,0.033333335,0.1,4.742584228515625,15.750104904174805,47.0,0.36166668,0.2025493011000435,6.767569726275452,0.38586482,0.029397064775643,180,30.86486053466797
